"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","reason"
"876","arxiv:2403.13728","M-HOF-Opt: Multi-Objective Hierarchical Output Feedback Optimization via Multiplier Induced Loss Landscape Scheduling","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"889","arxiv:2404.07344","Interactive Learning of Physical Object Properties Through Robot Manipulation and Database of Object Measurements","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"902","arxiv:2405.03155","CushSense: Soft, Stretchable, and Comfortable Tactile-Sensing Skin for Physical Human-Robot Interaction","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"915","arxiv:2405.15223","iVideoGPT: Interactive VideoGPTs are Scalable World Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"928","arxiv:2406.06615","Language Guided Skill Discovery","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"941","arxiv:2406.18053","Bidirectional-Reachable Hierarchical Reinforcement Learning with Mutually Responsive Policies","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"954","arxiv:2407.14859","Enhancing High-Energy Particle Physics Collision Analysis through Graph Data Attribution Techniques","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"967","arxiv:2408.06246","Stable-BC: Controlling Covariate Shift with Stable Behavior Cloning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"980","arxiv:2409.03966","Automating Robot Failure Recovery Using Vision-Language Models With Optimized Prompts","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"993","arxiv:2409.19226","Learning to Bridge the Gap: Efficient Novelty Recovery with Planning and Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1006","arxiv:2410.09940","Generalized Group Data Attribution","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1019","arxiv:2410.18907","SkillMimicGen: Automated Demonstration Generation for Efficient Skill Learning and Deployment","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1032","arxiv:2411.03294","Out-of-Distribution Recovery with Object-Centric Keypoint Inverse Policy for Visuomotor Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1045","arxiv:2412.01335","A Versatile Influence Function for Data Attribution with Non-Decomposable Loss","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1058","arxiv:2412.13877","RoboMIND: Benchmark on Multi-embodiment Intelligence Normative Data for Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1071","arxiv:2501.09747","FAST: Efficient Action Tokenization for Vision-Language-Action Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1084","arxiv:2502.02753","MuST: Multi-Head Skill Transformer for Long-Horizon Dexterous Manipulation with Skill Progress","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1097","arxiv:2502.11986","Selective Task Group Updates for Multi-Task Optimization","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1110","arxiv:2503.00877","Patch-wise Structural Loss for Time Series Forecasting","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1123","arxiv:2503.08558","Can We Detect Failures Without Failure Data? Uncertainty-Aware Runtime Failure Detection for Imitation Learning Policies","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1136","arxiv:2503.15202","A Unified Framework for Real-Time Failure Handling in Robotics Using Vision-Language Models, Reactive Planner and Behavior Trees","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1149","arxiv:2503.22943","Event Camera Meets Mobile Embodied Perception: Abstraction, Algorithm, Acceleration, Application","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1162","arxiv:2504.14805","Dynamic Contrastive Skill Learning with State-Transition Based Skill Clustering and Dynamic Length Adjustment","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1175","arxiv:2505.05108","Multi-agent Embodied AI: Advances and Future Directions","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1188","arxiv:2505.09109","FoldNet: Learning Generalizable Closed-Loop Policy for Garment Folding via Keypoint-Driven Asset and Demonstration Synthesis","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1201","arxiv:2505.14975","Flattening Hierarchies with Policy Bootstrapping","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1214","arxiv:2505.21200","Think Twice, Act Once: Token-Aware Compression and Action Reuse for Efficient Inference in Vision-Language-Action Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1227","arxiv:2506.05064","DemoSpeedup: Accelerating Visuomotor Policies via Entropy-Guided Demonstration Acceleration","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1240","arxiv:2506.11948","SAIL: Faster-than-Demonstration Execution of Imitation Learning Policies","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1253","arxiv:2506.16685","Compliant Residual DAgger: Improving Real-World Contact-Rich Manipulation with Human Corrections","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1266","arxiv:2507.04059","Attributing Data for Sharpness-Aware Minimization","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1279","arxiv:2507.09424","DATE-LM: Benchmarking Data Attribution Evaluation for Large Language Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1292","arxiv:2507.23253","Towards Measuring and Modeling Geometric Structures in Time Series Forecasting via Image Modality","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1305","arxiv:2508.10511","KDPE: A Kernel Density Estimation Strategy for Diffusion Policy Trajectory Selection","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1318","arxiv:2508.18691","Deep Sensorimotor Control by Imitating Predictive Models of Human Motion","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1331","arxiv:2509.10952","ImMimic: Cross-Domain Imitation from Human Videos via Mapping and Interpolation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1344","arxiv:2509.19102","FUNCanon: Learning Pose-Aware Action Primitives via Functional Object Canonicalization for Generalizable Robotic Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1357","arxiv:2509.25358","SARM: Stage-Aware Reward Modeling for Long Horizon Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1370","arxiv:2510.07030","Diffusing Trajectory Optimization Problems for Recovery During Multi-Finger Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1383","arxiv:2510.14930","VT-Refine: Learning Bimanual Assembly with Visuo-Tactile Feedback via Simulation Fine-Tuning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1396","arxiv:2510.22201","ACG: Action Coherence Guidance for Flow-based Vision-Language-Action models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1409","arxiv:2510.27607","Dual-Stream Diffusion for World-Model Augmented Vision-Language-Action Model","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1422","arxiv:2511.10110","Learning a Thousand Tasks in a Day","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1435","arxiv:2511.22555","Beyond Success: Refining Elegant Robot Manipulation from Mixed-Quality Data via Just-in-Time Intervention","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1448","arxiv:2512.08545","Curriculum Guided Massive Multi Agent System Solving For Robust Long Horizon Tasks","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1461","arxiv:2512.18238","Sync Without Guesswork: Incomplete Time Series Alignment","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1474","arxiv:2601.00451","Controllable Concept Bottleneck Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1487","arxiv:2601.04356","UNIC: Learning Unified Multimodal Extrinsic Contact Estimation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1500","arxiv:2601.09605","Sim2real Image Translation Enables Viewpoint-Robust Policies from Fixed-Camera Datasets","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1513","arxiv:2601.13122","Responsible AI for General-Purpose Systems: Overview, Challenges, and A Path Forward","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1526","arxiv:2601.18733","Advances and Innovations in the Multi-Agent Robotic System (MARS) Challenge","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1539","arxiv:2601.21702","Beyond Forgetting: Machine Unlearning Elicits Controllable Side Behaviors and Capabilities","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1552","arxiv:2602.00780","Environment-Aware Adaptive Pruning with Interleaved Inference Orchestration for Vision-Language-Action Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1565","arxiv:2602.04215","OAT: Ordered Action Tokenization","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1578","arxiv:2602.08167","Self-Supervised Bootstrapping of Action-Predictive Embodied Reasoning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1591","arxiv:2602.11075","RISE: Self-Improving Robot Policy with Compositional World Model","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1604","arxiv:2602.13810","Mean Flow Policy with Instantaneous Velocity Constraint for One-step Action Generation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1617","arxiv:2602.18025","Cross-Embodiment Offline Reinforcement Learning for Heterogeneous Robot Datasets","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1630","arxiv:2602.22579","Metamorphic Testing of Vision-Language Action-Enabled Robots","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1643","arxiv:2603.02688","Retrieval-Augmented Robots via Retrieve-Reason-Act","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1656","arxiv:2603.06987","Foundational World Models Accurately Detect Bimanual Manipulator Failures","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1669","arxiv:2603.11426","Grounding Robot Generalization in Training Data via Retrieval-Augmented VLMs","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1682","arxiv:2603.14397","eNavi: Event-based Imitation Policies for Low-Light Indoor Mobile Robot Navigation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1695","arxiv:2603.21669","PRM-as-a-Judge: A Dense Evaluation Paradigm for Fine-Grained Robotic Auditing","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1708","arxiv:2604.03759","Build on Priors: Vision--Language--Guided Neuro-Symbolic Imitation Learning for Data-Efficient Real-World Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1721","arxiv:2604.21924","Long-Horizon Manipulation via Trace-Conditioned VLA Planning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1734","arxiv:2605.08774","ProcVLM: Learning Procedure-Grounded Progress Rewards for Robotic Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1747","arxiv:2605.25044","X-DiffVLA: X-Embodied Diffusion Action Heads for Vision-Language-Action Models","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1760","arxiv:2606.06323","VOLT: Vision and Language Trajectory Segmentation for Faster-than-Demonstration Policies","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1773","arxiv:2606.16208","ATHENA: Accelerated Multi-Task Heterogeneous Influence Functions for Robot Data Curation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1786","arxiv:2606.24078","MinInter: Minimizing Trajectory Interpolation During Data Augmentation for Imitation Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1799","arxiv:2607.01804","VLA-Corrector: Lightweight Detect-and-Correct Inference for Adaptive Action Horizon","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1812","arxiv:2607.11027","SegDiff: Segmented Trajectory Diffusion for Consistent and Adaptive Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1825","arxiv:2607.26460","RLMM-Flow: A Flow-based Mobile Manipulation Framework with Latent-Space Reinforcement Learning","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1838","arxiv:2608.06221","Robot Learning from Human Demonstrations: Handwritten Alphabet Trajectories and Human-Likeness Evaluation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1851","arxiv:2608.26821","TemporalFlow-VLA: Learning Physically Grounded Execution History for Long-Horizon Robot Manipulation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1864","doi:10.1109/iccv51701.2025.00998","CLOT: Closed Loop Optimal Transport for Unsupervised Action Segmentation","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1877","doi:10.1109/tpami.2010.68","View-independent action recognition from temporal self-similarities.","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
"1890","doi:10.3389/fnbot.2026.1846433","ST-HADP: Spatio-Temporal hierarchical attention diffusion policy for long-horizon generalizable bimanual visuomotor imitation.","NEEDS_DEEP_REVIEW","1","Abstract-level candidate persisted; body-level method evidence required."
