"pass2_index","paper_id","status","mechanism_count","processed_at","error_or_review_reason"
"373","arxiv:2004.03691","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"386","arxiv:2006.04779","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"399","arxiv:2009.12293","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"412","arxiv:2010.08278","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"425","arxiv:2011.05817","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"438","arxiv:2101.12561","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"451","arxiv:2103.06669","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"464","arxiv:2105.10037","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"477","arxiv:2107.02349","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"490","arxiv:2108.02722","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"503","arxiv:2109.09222","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"516","arxiv:2110.04698","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"529","arxiv:2110.15191","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"542","arxiv:2201.05675","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"555","arxiv:2202.04675","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"568","arxiv:2204.02937","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"581","arxiv:2205.09795","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"594","arxiv:2207.03315","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"607","arxiv:2209.10149","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"620","arxiv:2210.05178","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"633","arxiv:2210.15629","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"646","arxiv:2212.03562","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"659","arxiv:2301.07944","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"672","arxiv:2302.00111","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"685","arxiv:2302.09429","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"698","arxiv:2303.10778","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"711","arxiv:2304.07647","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"724","arxiv:2305.04727","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"737","arxiv:2306.04581","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"750","arxiv:2307.01452","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"763","arxiv:2307.15818","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"776","arxiv:2309.10150","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"789","arxiv:2310.09629","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"802","arxiv:2311.01419","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"815","arxiv:2311.16098","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"828","arxiv:2401.08957","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"841","arxiv:2402.03771","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"854","arxiv:2402.10885","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"867","arxiv:2403.02709","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"880","arxiv:2403.19225","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"893","arxiv:2404.12308","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"906","arxiv:2405.07503","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"919","arxiv:2405.18214","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"932","arxiv:2406.10615","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"945","arxiv:2407.04285","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"958","arxiv:2407.16677","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"971","arxiv:2408.10568","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"984","arxiv:2409.08687","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"997","arxiv:2409.20537","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1010","arxiv:2410.13816","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1023","arxiv:2410.22689","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1036","arxiv:2411.12155","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1049","arxiv:2412.04455","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1062","arxiv:2412.20193","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1075","arxiv:2501.13756","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1088","arxiv:2502.04554","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1101","arxiv:2502.16932","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1114","arxiv:2503.02881","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1127","arxiv:2503.11918","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1140","arxiv:2503.18845","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1153","arxiv:2504.06156","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1166","arxiv:2504.19448","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1179","arxiv:2505.06628","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1192","arxiv:2505.10911","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1205","arxiv:2505.18595","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1218","arxiv:2506.00098","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"1231","arxiv:2506.07530","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1244","arxiv:2506.13679","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1257","arxiv:2506.19077","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1270","arxiv:2507.06519","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1283","arxiv:2507.11910","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1296","arxiv:2508.03129","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1309","arxiv:2508.13073","DROP","0","2026-08-30T23:31:45.1644526Z","The supplied title and abstract describe a benchmark, dataset, survey, or out-of-scope application rather than a concrete intervention for robot-learning data or training intelligence."
"1322","arxiv:2509.00178","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1335","arxiv:2509.15937","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1348","arxiv:2509.21723","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1361","arxiv:2509.26308","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1374","arxiv:2510.09459","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1387","arxiv:2510.17640","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1400","arxiv:2510.24674","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1413","arxiv:2511.02776","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1426","arxiv:2511.14759","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1439","arxiv:2512.01358","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1452","arxiv:2512.10481","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1465","arxiv:2512.19402","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1478","arxiv:2601.02078","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1491","arxiv:2601.06133","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1504","arxiv:2601.11250","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1517","arxiv:2601.14209","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1530","arxiv:2601.19510","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1543","arxiv:2601.22018","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1556","arxiv:2602.01166","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1569","arxiv:2602.04880","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1582","arxiv:2602.09021","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1595","arxiv:2602.12062","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1608","arxiv:2602.14869","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1621","arxiv:2602.19634","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1634","arxiv:2602.23893","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1647","arxiv:2603.04249","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1660","arxiv:2603.08269","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1673","arxiv:2603.12075","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1686","arxiv:2603.15618","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1699","arxiv:2603.23672","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1712","arxiv:2604.08664","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1725","arxiv:2604.24681","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1738","arxiv:2605.12715","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1751","arxiv:2605.29407","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1764","arxiv:2606.10363","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1777","arxiv:2606.18307","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1790","arxiv:2606.27295","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1803","arxiv:2607.05377","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1816","arxiv:2607.15275","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1829","arxiv:2607.29285","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1842","arxiv:2608.15026","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1855","doi:10.1007/s00422-014-0599-1","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1868","doi:10.1109/lra.2026.3703978","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1881","doi:10.1109/tpami.2018.2858826","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
"1894","doi:10.3390/s20082209","NEEDS_DEEP_REVIEW","1","2026-08-30T23:31:45.1644526Z","Body-method evidence required to establish the operative chain and exact lane boundary."
