"pass2_index","paper_id","paper_title","terminal_outcome","mechanisms_emitted","classification","evidence_basis","verification"
"319","arxiv:1906.11415","Few-Shot Video Classification via Temporal Alignment","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"332","arxiv:1908.07410","ViSiL: Fine-grained Spatio-Temporal Video Similarity Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"345","arxiv:1910.10897","Meta-World: A Benchmark and Evaluation for Multi-Task and Meta Reinforcement Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"358","arxiv:2001.00503","Joint Goal and Strategy Inference across Heterogeneous Demonstrators via Reward Network Distillation","DROP","0","DROP","title_and_abstract","json_record_checked"
"371","arxiv:2003.12194","Spatiotemporal Adaptive Neural Network for Long-term Forecasting of Financial Time Series","DROP","0","DROP","title_and_abstract","json_record_checked"
"384","arxiv:2006.01413","Resolving Class Imbalance in Object Detection with Weighted Cross Entropy Losses","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"397","arxiv:2008.11546","Towards Structured Prediction in Bioinformatics with Deep Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"410","arxiv:2010.07349","Probabilistic Time Series Forecasting with Structured Shape and Temporal Diversity","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"423","arxiv:2011.04447","A contribution to Optimal Transport on incomparable spaces","DROP","0","DROP","title_and_abstract","json_record_checked"
"436","arxiv:2101.06521","Hierarchical Reinforcement Learning By Discovering Intrinsic Options","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"449","arxiv:2103.05910","Learning from Imperfect Demonstrations from Agents with Varying Dynamics","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"462","arxiv:2105.04607","Efficient Self-Supervised Data Collection for Offline Robot Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"475","arxiv:2106.13008","Autoformer: Decomposition Transformers with Auto-Correlation for Long-Term Series Forecasting","DROP","0","DROP","title_and_abstract","json_record_checked"
"488","arxiv:2108.00049","Object-aware Contrastive Learning for Debiased Scene Representation","DROP","0","DROP","title_and_abstract","json_record_checked"
"501","arxiv:2109.07788","Marginal MAP Estimation for Inverse RL under Occlusion with Observer Noise","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"514","arxiv:2110.04347","Towards Sample-efficient Apprenticeship Learning from Suboptimal Demonstration","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"527","arxiv:2110.14770","TRAIL: Near-Optimal Imitation Learning with Suboptimal Data","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"540","arxiv:2112.13753","MetaCVR: Conversion Rate Prediction via Meta Learning in Small-Scale Recommendation Scenarios","DROP","0","DROP","title_and_abstract","json_record_checked"
"553","arxiv:2202.02967","Learning from Imperfect Demonstrations via Adversarial Confidence Transfer","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"566","arxiv:2204.00227","Perception Prioritized Training of Diffusion Models","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"579","arxiv:2205.09329","Dataset Pruning: Reducing Training Data by Examining Generalization Influence","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"592","arxiv:2206.14349","Fleet-DAgger: Interactive Robot Fleet Learning with Scalable Human Supervision","DROP","0","DROP","title_and_abstract","json_record_checked"
"605","arxiv:2209.08253","Mitigating Both Covariate and Conditional Shift for Domain Generalization","DROP","0","DROP","title_and_abstract","json_record_checked"
"618","arxiv:2210.03094","VIMA: General Robot Manipulation with Multimodal Prompts","DROP","0","DROP","title_and_abstract","json_record_checked"
"631","arxiv:2210.14428","D-Shape: Demonstration-Shaped Reinforcement Learning via Goal Conditioning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"644","arxiv:2211.13024","Comparison of Motion Encoding Frameworks on Human Manipulation Actions","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"657","arxiv:2301.01928","Event Camera Data Pre-training","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"670","arxiv:2301.13019","Identifying Expert Behavior in Offline Training Datasets Improves Behavioral Cloning of Robotic Manipulation Policies","DROP","0","DROP","title_and_abstract","json_record_checked"
"683","arxiv:2302.07457","When Demonstrations Meet Generative World Models: A Maximum Likelihood Framework for Offline Inverse Reinforcement Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"696","arxiv:2303.08114","Simfluence: Modeling the Influence of Individual Training Examples by Simulating Training Runs","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"709","arxiv:2304.04591","For Pre-Trained Vision Models in Motor Control, Not All Policy Learning Methods are Created Equal","DROP","0","DROP","title_and_abstract","json_record_checked"
"722","arxiv:2305.01521","Unlocking the Power of Representations in Long-term Novelty-based Exploration","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"735","arxiv:2306.02437","Data Quality in Imitation Learning","GEM","1","GEM","assignment_record_abstract","json_record_checked"
"748","arxiv:2306.17237","HYDRA: Hybrid Robot Actions for Imitation Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"761","arxiv:2307.14535","Scaling Up and Distilling Down: Language-Guided Robot Skill Acquisition","DROP","0","DROP","title_and_abstract","json_record_checked"
"774","arxiv:2309.04459","Subwords as Skills: Tokenization for Sparse-Reward Reinforcement Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"787","arxiv:2310.08823","Distance-rank Aware Sequential Reward Learning for Inverse Reinforcement Learning with Sub-optimal Demonstrations","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"800","arxiv:2311.00913","Self-Influence Guided Data Reweighting for Language Model Pre-training","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"813","arxiv:2311.12233","Unifying Corroborative and Contributive Attributions in Large Language Models","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"826","arxiv:2401.02117","Mobile ALOHA: Learning Bimanual Mobile Manipulation with Low-Cost Whole-Body Teleoperation","DROP","0","DROP","title_and_abstract","json_record_checked"
"839","arxiv:2402.02439","DiffStitch: Boosting Offline Reinforcement Learning with Diffusion-based Trajectory Stitching","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"852","arxiv:2402.10450","PRISE: LLM-Style Sequence Compression for Learning Temporal Action Abstractions in Control","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"865","arxiv:2403.00225","Robust Policy Learning via Offline Skill Diffusion","DROP","0","DROP","title_and_abstract","json_record_checked"
"878","arxiv:2403.16952","Data Mixing Laws: Optimizing Data Mixtures by Predicting Language Modeling Performance","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"891","arxiv:2404.07840","On Training Data Influence of GPT Models","DROP","0","DROP","title_and_abstract","json_record_checked"
"904","arxiv:2405.05439","How Generalizable Is My Behavior Cloning Policy? A Statistical Approach to Trustworthy Performance Evaluation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"917","arxiv:2405.17476","How to Leverage Diverse Demonstrations in Offline Imitation Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"930","arxiv:2406.08079","A²-MAE: A spatial-temporal-spectral unified remote sensing pre-training method based on anchor-aware masked autoencoder","DROP","0","DROP","title_and_abstract","json_record_checked"
"943","arxiv:2407.00299","Human-Agent Joint Learning for Efficient Robot Manipulation Skill Acquisition","DROP","0","DROP","title_and_abstract","json_record_checked"
"956","arxiv:2407.15815","Learning to Manipulate Anywhere: A Visual Generalizable Framework For Reinforcement Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"969","arxiv:2408.07852","Training Language Models on the Knowledge Graph: Insights on Hallucinations and Their Detectability","DROP","0","DROP","title_and_abstract","json_record_checked"
"982","arxiv:2409.06615","One-Shot Imitation under Mismatched Execution","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"995","arxiv:2409.19917","Towards Effective Utilization of Mixed-Quality Demonstrations in Robotic Manipulation via Segment-Level Selection and Optimization","DROP","0","DROP","title_and_abstract","json_record_checked"
"1008","arxiv:2410.13126","ALOHA Unleashed: A Simple Recipe for Robot Dexterity","DROP","0","DROP","title_and_abstract","json_record_checked"
"1021","arxiv:2410.19235","Learning Diffusion Policies from Demonstrations For Compliant Contact-rich Manipulation","DROP","0","DROP","title_and_abstract","json_record_checked"
"1034","arxiv:2411.03682","LEGATO: Cross-Embodiment Imitation Using a Grasping Tool","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1047","arxiv:2412.02818","RoboMD: Uncovering Robot Vulnerabilities through Semantic Potential Fields","DROP","0","DROP","title_and_abstract","json_record_checked"
"1060","arxiv:2412.15182","STRAP: Robot Sub-Trajectory Retrieval for Augmented Policy Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1073","arxiv:2501.12668","NBDI: A Simple and Effective Termination Condition for Skill Extraction from Task-Agnostic Demonstrations","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1086","arxiv:2502.03752","Self-Improving Skill Learning for Robust Skill-based Meta-Reinforcement Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1099","arxiv:2502.16372","COMPASS: Cross-embodiment Mobility Policy via Residual RL and Skill Synthesis","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1112","arxiv:2503.01301","Few-shot Sim2Real Based on High Fidelity Rendering with Force Feedback Teleoperation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1125","arxiv:2503.10684","Open-World Skill Discovery from Unsegmented Demonstrations","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1138","arxiv:2503.15895","CONTHER: Human-Like Contextual Robot Learning via Hindsight Experience Replay and Transformers without Expert Demonstrations","DROP","0","DROP","title_and_abstract","json_record_checked"
"1151","arxiv:2504.03420","Autonomous state-space segmentation for Deep-RL sparse reward scenarios","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1164","arxiv:2504.18662","M2R2: MultiModal Robotic Representation for Temporal Action Segmentation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1177","arxiv:2505.06111","UniVLA: Learning to Act Anywhere with Task-centric Latent Actions","DROP","0","DROP","title_and_abstract","json_record_checked"
"1190","arxiv:2505.09603","DataMIL: Selecting Data for Robot Imitation Learning with Datamodels","GEM","1","GEM","assignment_record_abstract","json_record_checked"
"1203","arxiv:2505.16787","Enter the Void - Planning to Seek Entropy When Reward is Scarce","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1216","arxiv:2505.21851","Streaming Flow Policy: Simplifying diffusion/flow-matching policies by treating action trajectories as flow trajectories","DROP","0","DROP","title_and_abstract","json_record_checked"
"1229","arxiv:2506.05980","AMPED: Adaptive Multi-objective Projection for balancing Exploration and skill Diversification","DROP","0","DROP","title_and_abstract","json_record_checked"
"1242","arxiv:2506.12965","Distributional Training Data Attribution: What do Influence Functions Sample?","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1255","arxiv:2506.18088","RoboTwin 2.0: A Scalable Data Generator and Benchmark with Strong Domain Randomization for Robust Bimanual Robotic Manipulation","DROP","0","DROP","title_and_abstract","json_record_checked"
"1268","arxiv:2507.05674","Integrating Diffusion-based Multi-task Learning with Online Reinforcement Learning for Robust Quadruped Robot Control","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1281","arxiv:2507.10899","Object-Centric Mobile Manipulation through SAM2-Guided Perception and Imitation Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1294","arxiv:2508.01943","ROVER: Recursive Reasoning Over Videos with Vision-Language Models for Embodied Tasks","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1307","arxiv:2508.10866","Efficiently Verifiable Proofs of Data Attribution","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1320","arxiv:2508.19476","Gentle Object Retraction in Dense Clutter Using Multimodal Force Sensing and Imitation Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1333","arxiv:2509.11865","Tenma: Robust Cross-Embodiment Robot Manipulation with Diffusion Transformer","DROP","0","DROP","title_and_abstract","json_record_checked"
"1346","arxiv:2509.19853","SAGE:State-Aware Guided End-to-End Policy for Multi-Stage Sequential Tasks via Hidden Markov Decision Process","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1359","arxiv:2509.25681","dVLA: Diffusion Vision-Language-Action Model with Multimodal Chain-of-Thought","DROP","0","DROP","title_and_abstract","json_record_checked"
"1372","arxiv:2510.08547","R2RGEN: Real-to-Real 3D Data Generation for Spatially Generalized Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1385","arxiv:2510.16732","A Comprehensive Survey on World Models for Embodied AI","DROP","0","DROP","title_and_abstract","json_record_checked"
"1398","arxiv:2510.23571","RobotArena ∞: Scalable Robot Benchmarking via Real-to-Sim Translation","DROP","0","DROP","title_and_abstract","json_record_checked"
"1411","arxiv:2511.01107","SLAP: Shortcut Learning for Abstract Planning","DROP","0","DROP","title_and_abstract","json_record_checked"
"1424","arxiv:2511.10721","Fast Data Attribution for Text-to-Image Models","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1437","arxiv:2512.01031","VLASH: Real-Time VLAs via Future-State-Aware Asynchronous Inference","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1450","arxiv:2512.09406","H2R-Grounder: A Paired-Data-Free Paradigm for Translating Human Interaction Videos into Physically Grounded Robot Videos","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1463","arxiv:2512.18583","SD2AIL: Adversarial Imitation Learning from Synthetic Demonstrations via Diffusion Models","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1476","arxiv:2601.01618","Action-Sketcher: From Reasoning to Action via Visual Sketches for Long-Horizon Robotic Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1489","arxiv:2601.05230","Learning Latent Action World Models In The Wild","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1502","arxiv:2601.10645","Influential Training Data Retrieval for Explaining Verbalized Confidence of LLMs","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1515","arxiv:2601.13899","Towards Visually Explaining Statistical Tests with Applications in Biomedical Imaging","DROP","0","DROP","title_and_abstract","json_record_checked"
"1528","arxiv:2601.19406","Sim-and-Human Co-training for Data-Efficient and Generalizable Robotic Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1541","arxiv:2601.21971","Supervised Mixture-of-Experts for Surgical Grasping and Retraction","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1554","arxiv:2602.00919","Green-VLA: Staged Vision-Language-Action Model for Generalist Robots","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1567","arxiv:2602.04278","MiniRec: Data-Efficient Reinforcement Learning for LLM-based Recommendation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1580","arxiv:2602.08602","Mimic Intent, Not Just Trajectories","DROP","0","DROP","title_and_abstract","json_record_checked"
"1593","arxiv:2602.11885","Choose What to Manipulate: Revealing Data Scaling Laws in Bounding-Box Guided Policies for Semantic Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1606","arxiv:2602.14032","RoboAug: One Annotation to Hundreds of Scenes via Region-Contrastive Data Augmentation for Robotic Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1619","arxiv:2602.18742","RoboCurate: Harnessing Diversity with Action-Verified Neural Trajectory for Robot Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1632","arxiv:2602.22862","GraspLDP: Towards Generalizable Grasping Policy via Latent Diffusion","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1645","arxiv:2603.03243","HoMMI: Learning Whole-Body Mobile Manipulation from Human Demonstrations","DROP","0","DROP","title_and_abstract","json_record_checked"
"1658","arxiv:2603.08057","See and Switch: Vision-Based Branching for Interactive Robot-Skill Programming","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1671","arxiv:2603.11634","Diversity You Can Actually Measure: A Fast, Model-Free Diversity Metric for Robotics Datasets","DROP","0","DROP","title_and_abstract","json_record_checked"
"1684","arxiv:2603.14811","Ego to World: Collaborative Spatial Reasoning in Embodied Systems via Reinforcement Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"1697","arxiv:2603.22430","Inference Time Policy Optimization for Offline RL with Differentiable World Models","DROP","0","DROP","title_and_abstract","json_record_checked"
"1710","arxiv:2604.05614","Grounding Hierarchical Vision-Language-Action Models Through Explicit Language-Action Alignment","DROP","0","DROP","title_and_abstract","json_record_checked"
"1723","arxiv:2604.23000","Learning from the Best: Smoothness-Driven Metrics for Data Quality in Imitation Learning","DROP","0","DROP","title_and_abstract","json_record_checked"
"1736","arxiv:2605.11009","ACSAC: Adaptive Chunk Size Actor-Critic with Causal Transformer Q-Network","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1749","arxiv:2605.26349","Closing the Loop in Teleoperation: Episode-Level Data Quality Assessment and Feedback for High-Quality Demonstration Collection","GEM","1","GEM","assignment_record_abstract","json_record_checked"
"1762","arxiv:2606.09758","Difference-Aware Retrieval Policies for Imitation Learning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1775","arxiv:2606.17846","Qwen-RobotManip Technical Report: Alignment Unlocks Scale for Robotic Manipulation Foundation Models","DROP","0","DROP","title_and_abstract","json_record_checked"
"1788","arxiv:2606.25488","Distill on a Diet: Efficient Knowledge Distillation via Learnable Data Pruning","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1801","arxiv:2607.03283","Embodied Operators and Benchmarking: Toward Reusable and Deployable Embodied Intelligence Systems","DROP","0","DROP","title_and_abstract","json_record_checked"
"1814","arxiv:2607.13033","DenseReward: Dense Reward Learning via Failure Synthesis for Robotic Manipulation","KEEP","1","KEEP","assignment_record_abstract","json_record_checked"
"1827","arxiv:2607.27782","RedFlow: Redirect Failure into Action-Level Corrections for Flow-matching VLA Policy","DROP","0","DROP","title_and_abstract","json_record_checked"
"1840","arxiv:2608.07895","Auditing Instruction-Trajectory Mismatches in Multimodal Robot Demonstrations","DROP","0","DROP","title_and_abstract","json_record_checked"
"1853","arxiv:cs/9905014","Hierarchical Reinforcement Learning with the MAXQ Value Function Decomposition","DROP","0","DROP","title_and_abstract","json_record_checked"
"1866","doi:10.1109/lra.2026.3693577","E2HiL: Entropy-Guided Sample Selection for Efficient Real-World Human-in-the-Loop Reinforcement Learning","GEM","1","GEM","assignment_record_abstract","json_record_checked"
"1879","doi:10.1109/tpami.2015.2414429","Generalized Canonical Time Warping.","DROP","0","DROP","title_and_abstract","json_record_checked"
"1892","doi:10.3389/frobt.2025.1682437","Interactive imitation learning for dexterous robotic manipulation: challenges and perspectives-a survey.","DROP","0","DROP","title_and_abstract","json_record_checked"
