pass2_index,assigned_agent,paper_id,paper_title,first_pass_classification,source_lane,paper_name,id,abstract,triage_label,lanes,lane_count,triage_labels_by_lane,mechanisms_by_lane,why_it_matters_by_lane,follow_up_by_lane,corpus_stages,authors,year,source_ids,primary_id,source_paper_id,categories,queries,discovery_methods,designations,primary_readers,metadata_verified_any,body_inspected_any,evidence_read_any,triage_disagreement,source_registry_paths,source_triage_paths
10,1,arxiv:1108.4063,Backpressure with Adaptive Redundancy (BWAR),MEDIUM,B4,Backpressure with Adaptive Redundancy (BWAR),arxiv:1108.4063,"Backpressure scheduling and routing, in which packets are preferentially transmitted over links with high queue differentials, offers the promise of throughput-optimal operation for a wide range of communication networks. However, when the traffic load is low, due to the corresponding low queue occupancy, backpressure scheduling/routing experiences long delays. This is particularly of concern in intermittent encounter-based mobile networks which are already delay-limited due to the sparse and highly dynamic network connectivity. While state of the art mechanisms for such networks have proposed",medium,B4,1,B4=medium,B4=queueing and buffering; scheduling/deadline policy; backpressure/overload control; network/transport transfer,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,Majed Alresaini; Maheswaran Sathiamoorthy; Bhaskar Krishnamachari; Michael J. Neely,2026,arxiv:1108.4063,arxiv:1108.4063,arxiv:1108.4063,cs.NI | cs.SY | eess.SY | math.OC,q13-DDS-QoS-queue.json | q18-load-shedding-backpressure.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json | b4/raw-retrieval/q18-load-shedding-backpressure.json,b4/abstract-triage.jsonl
11,2,8674407848986055084,"Causality, Knowledge and Coordination in Distributed Systems",MEDIUM,B2,"Causality, Knowledge and Coordination in Distributed Systems",arxiv:1112.4428,"Effecting coordination across remote sites in a distributed system is an essential part of distributed computing, and also an inherent challenge. In 1978, an analysis of communication in asynchronous systems was suggested by Leslie Lamport. Lamport's analysis determines a notion of temporal precedence, a sort of weak notion of time, which is otherwise missing in asynchronous systems. This notion has been extensively utilized in various applications. Yet the analysis is limited to systems that are asynchronous. In this thesis we go beyond by investigating causality in synchronous systems. In su",medium,B2,1,B2=medium,B2=Formalizes how event causality and knowledge affect coordination in distributed systems.,B2=Provides foundational semantics for interpreting partial robot execution histories.,B2=false,primary_assignment,Ido Ben-Zvi,2011,arxiv:1112.4428,arxiv:1112.4428,8674407848986055084,cs.DC | cs.LO,q04-message-flow | q13-foundations,semantic-search,general,B2,false,false,false,false,b1/canonical-registry.jsonl | b1/raw-q10-causal-diagnosis.json | b1/raw-q11-foundational.json | b1/raw-q14-lamport-exact.json | b2/raw-q04-message-flow.txt | b2/raw-q13-foundations.txt | b2/registry-final.json | b2/registry.json | b3/raw-q06-provenance.json | b3/raw-q33-lamport.json | b3/registry.json | b5/canonical-registry.jsonl | b5/raw-retrieval/q40-found-clocks.json,b2/triage-final.jsonl | b2/triage.jsonl
12,3,arxiv:1202.0784,Joint Coding and Scheduling Optimization in Wireless Systems with Varying Delay Sensitivities,HIGH,B5,Joint Coding and Scheduling Optimization in Wireless Systems with Varying Delay Sensitivities,arxiv:1202.0784,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Weifei Zeng, Chris T. K. Ng, Muriel Medard",,,arxiv:1202.0784,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
13,4,4609996249881166460,Modular design of jointly optimal controllers and forwarding policies for wireless control,HIGH,B5,Modular design of jointly optimal controllers and forwarding policies for wireless control,arxiv:1204.3100,"We consider the joint design of packet forwarding policies and controllers for wireless control loops where sensor measurements are sent to the controller over an unreliable and energy-constrained multi-hop wireless network. For fixed sampling rate of the sensor, the co-design problem separates into two well-defined and independent subproblems: transmission scheduling for maximizing the deadline-constrained reliability and optimal control under packet loss. We develop optimal and implementable solutions for these subproblems and show that the optimally co-designed system can be efficiently found. Numerical examples highlight the many trade-offs involved and demonstrate the power of our approach.",high,B5,1,B5=high,"B5=The abstract addresses packet loss, delay, jitter, disorder, or reordering and its effect on networked sensing, estimation, or control.","B5=It supplies a transferable diagnostic or design hypothesis for detecting transport-induced loss, duplication, reordering, staleness, timing error, or observation/action mismatch in the Reflex episode loop.",B5=true,primary_assignment,"Burak Demirel, Zhenhua Zou, Pablo Soldati, Mikael Johansson",,arxiv:1204.3100,arxiv:1204.3100,4609996249881166460,,q39-found-realtime,,,B5,false,false,false,false,b5/assigned-paper-manifest.json | b5/assigned-paper-manifest.jsonl | b5/canonical-registry.jsonl | b5/evidence-digest.jsonl | b5/raw-retrieval/q39-found-realtime.json,b5/abstract-triage.jsonl
14,5,arxiv:1205.6018,Optimal Strategies for Communication and Remote Estimation with an Energy Harvesting Sensor,HIGH,B5,Optimal Strategies for Communication and Remote Estimation with an Energy Harvesting Sensor,arxiv:1205.6018,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Ashutosh Nayyar, Tamer Basar, Demosthenis Teneketzis, Venugopal V. Veeravalli",,,arxiv:1205.6018,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
15,1,arxiv:1211.0779,Large Deviation Delay Analysis of Queue-Aware Multi-user MIMO Systems with Multi-timescale Mobile-Driven Feedback,MEDIUM,B4,Large Deviation Delay Analysis of Queue-Aware Multi-user MIMO Systems with Multi-timescale Mobile-Driven Feedback,arxiv:1211.0779,"Multi-user multi-input-multi-output (MU-MIMO) systems transmit data to multiple users simultaneously using the spatial degrees of freedom with user feedback channel state information (CSI). Most of the existing literatures on the reduced feedback user scheduling focus on the throughput performance and the user queueing delay is usually ignored. As the delay is very important for real-time applications, a low feedback queue-aware user scheduling algorithm is desired for the MU-MIMO system. This paper proposed a two-stage queue-aware user scheduling algorithm, which consists of a queue-aware mob",medium,B4,1,B4=medium,B4=queueing and buffering; scheduling/deadline policy; stage-wise latency attribution,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,Junting Chen; Vincent K. N. Lau,2026,arxiv:1211.0779,arxiv:1211.0779,arxiv:1211.0779,cs.IT | cs.SY | eess.SY | math.IT,q03-queueing-delay-scheduling.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q03-queueing-delay-scheduling.json,b4/abstract-triage.jsonl
16,2,369303191991734137,Non-Hierarchical Clock Synchronization for Wireless Sensor Networks,MEDIUM,B1,Non-Hierarchical Clock Synchronization for Wireless Sensor Networks,arxiv:1212.1216,"Time synchronization is important for a variety of applications in wireless sensor networks including scheduling communication resources, coordinating sensor wake/sleep cycles, and aligning signals for distributed transmission/reception. This paper describes a non-hierarchical approach to time synchronization in wireless sensor networks that has low overhead and can be implemented at the physical and/or MAC layers. Unlike most of the prior approaches, the approach described in this paper allows all nodes to use exactly the same distributed algorithm and does not require local averaging of measurements from other nodes. Analytical results show that the non-hierarchical approach can provide monotonic expected convergence of both drifts and offsets under broad conditions on the network topology and local clock update stepsize. Numerical results are also presented verifying the analysis under two particular network topologies.",medium,B1,1,B1=medium,B1=A non-hierarchical protocol synchronizes drift and offset using a common distributed algorithm and local measurements.,,B1=true,primary_assignment,"D. Richard Brown, III, Andrew G. Klein, Rui Wang",2012,arxiv:1212.1216,arxiv:1212.1216,369303191991734137,,,,,B1,true,false,false,false,b1/assigned-paper-manifest.json | b1/assigned-paper-manifest.jsonl | b1/assigned-registry.jsonl | b1/canonical-registry.jsonl | b1/follow-up-manifest.jsonl | b1/inspection-manifest.jsonl | b1/raw-q01-direct.json | b1/raw-q06-monotonic.json,b1/assigned-paper-manifest.jsonl | b1/triage.jsonl
17,3,423601617454160846,FReD: Automated Debugging via Binary Search through a Process Lifetime,MEDIUM,B8,FReD: Automated Debugging via Binary Search through a Process Lifetime,arxiv:1212.5204,"Reversible debuggers have been developed at least since 1970. Such a feature is useful when the cause of a bug is close in time to the bug manifestation. When the cause is far back in time, one resorts to setting appropriate breakpoints in the debugger and beginning a new debugging session. For these cases when the cause of a bug is far in time from its manifestation, bug diagnosis requires a series of debugging sessions with which to narrow down the cause of the bug. For such ""difficult"" bugs, this work presents an automated tool to search through the process lifetime and locate the cause. As an example, the bug could be related to a program invariant failing. A binary search through the process lifetime suffices, since the invariant expression is true at the beginning of the program execution, and false when the bug is encountered. An algorithm for such a binary search is presented within the FReD (Fast Reversible Debugger) software. It is based on the ability to checkpoint, restart and deterministically replay the multiple processes of a debugging session. It is based on GDB (a debugger), DMTCP (for checkpoint-restart), and a custom deterministic record-replay plugin for DMTCP. FReD supports complex, real-world multithreaded programs, such as MySQL and Firefox. Further, the binary search is robust. It operates on multi-threaded programs, and takes advantage of multi-core architectures during replay.",medium,B8,1,B8=medium,B8=Expansion candidate was surfaced by a related-paper graph around a B8 seed and is triaged from its title and abstract.,"B8=It may add a reusable observability, replay, timing, or failure-injection mechanism to the B8 evidence family.",B8=true,expansion_round_1,,2012,arxiv:1212.5204,arxiv:1212.5204,423601617454160846,,foundational deterministic replay debugging distributed systems record replay,firecrawl research search-papers,foundational,B8,false,false,false,false,b3/raw-q25-replay.json | b3/registry.json | b8/canonical-registry.json | b8/expansion-registry.json | b8/raw/foundational-01.json,b8/expansion-triage.jsonl
18,4,arxiv:1303.4370,Streaming-Codes for Multicast over Burst Erasure Channels,HIGH,B5,Streaming-Codes for Multicast over Burst Erasure Channels,arxiv:1303.4370,,high,B5,1,B5=high,"B5=The related-paper result extends an already-covered B5 transport family and is retained as a strong seed or neighboring mechanism for packet correctness, freshness, ordering, reliability, or timing.",B5=It tests whether the B5 synthesis mechanism map is stable beyond the multi-formulation search results and supplies a transferable hypothesis for the Reflex episode loop.,B5=true,expansion_round_1,"Ahmed Badr, Devin Lui, Ashish Khisti",,,arxiv:1303.4370,,,,,,B5,false,false,false,false,b5/evidence-digest.jsonl,b5/expansion/expansion-triage.jsonl
19,5,arxiv:1304.3258,Effect of the Feedback Function on the QoS in a Time Space Priority with Active Queue Management,MEDIUM,B4,Effect of the Feedback Function on the QoS in a Time Space Priority with Active Queue Management,arxiv:1304.3258,"The basic idea behind an active queue management (AQM) is to sense the congestion level within the network and inform the packet sources about, so that they reduce their sending rate. In literature a lot off mechanisms of AQM are studied. But there are not used in the context of the DiffServ architecture where different types of packet with different requirements of QoS share the same link. In this paper, we study an access control mechanism for RT and NRT packets arriving in a buffer implemented at an end user in HSDPA. The mechanism uses thresholds to mange access in the buffer and gives acc",medium,B4,1,B4=medium,B4=queueing and buffering; scheduling/deadline policy; backpressure/overload control; network/transport transfer,B4=Supplies a transferable mechanism for explaining tail behavior and deciding which per-stage measurements the Reflex evidence model must preserve.,B4=true,primary_assignment,Mohamed Hanini; Said El Kafhali; Abdelkrim Haqtq; Amine Berqta,2013,arxiv:1304.3258,arxiv:1304.3258,arxiv:1304.3258,cs.NI,q13-DDS-QoS-queue.json,,,B4,false,false,false,false,b4/assigned-paper-manifest.jsonl | b4/canonical-registry.json | b4/raw-retrieval/q13-DDS-QoS-queue.json,b4/abstract-triage.jsonl
