"pass2_index","canonical_paper_id","assigned_agent","first_pass_classification","source_lane","paper_name","id","abstract","triage_label","lanes","lane_count","triage_labels_by_lane","mechanisms_by_lane","why_it_matters_by_lane","follow_up_by_lane","corpus_stages","authors","year","source_ids","primary_id","paper_id","categories","queries","discovery_methods","designations","primary_readers","metadata_verified_any","body_inspected_any","evidence_read_any","triage_disagreement","source_registry_paths","source_triage_paths"
"625","arxiv:2210.09337","2","HIGH","A6","Robust Imitation of a Few Demonstrations with a Backwards Model","arxiv:2210.09337","Behavior cloning of expert demonstrations can speed up learning optimal policies in a more sample-efficient way over reinforcement learning. However, the policy cannot extrapolate well to unseen states outside of the demonstration data, creating covariate shift (agent drifting away from demonstrations) and compounding errors. In this work, we tackle this issue by extending the region of attraction around the demonstrations so that the agent can learn how to get back onto the demonstrated trajectories if it veers off-course. We train a generative backwards dynamics model and generate short imagined trajectories from states in the demonstrations. By imitating both demonstrations and these model rollouts, the agent learns the demonstrated paths and how to get back onto these paths. With optimal or near-optimal demonstrations, the learned policy will be both optimal and robust to deviations, with a wider region of attraction. On continuous control domains, we evaluate the robustness when starting from different initial states unseen in the demonstration data. While both our method and other imitation learning baselines can successfully solve the tasks for initial states in the training distribution, our method exhibits considerably more robustness to different initial states.","high","A6","1","A6=high","A6=Estimates demonstration quality or latent expertise to filter, weight, or optimize learning from mixed-quality experience.","A6=Offers a reusable mechanism for converting sequential experience into better policy or data decisions.","A6=true","expansion_round_1","","2022","arxiv:2210.09337","arxiv:2210.09337","6275153092680854812","","q11-help-harm","related-papers","general","A6","false","false","false","false","A4/canonical-registry.jsonl | A4/raw/q11-help-harm.json | A5/canonical-pool.jsonl | A5/paper-registry.json | A6/expansion/canonical-pool.jsonl | A7/raw/q06-shift.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A6/expansion/triage.jsonl"
"638","arxiv:2211.03393","2","HIGH","A3 | A6","Bayesian Disturbance Injection: Robust Imitation Learning of Flexible Policies for Robot Manipulation","arxiv:2211.03393","Humans demonstrate a variety of interesting behavioral characteristics when performing tasks, such as selecting between seemingly equivalent optimal actions, performing recovery actions when deviating from the optimal trajectory, or moderating actions in response to sensed risks. However, imitation learning, which attempts to teach robots to perform these same tasks from observations of human demonstrations, often fails to capture such behavior. Specifically, commonly used learning algorithms embody inherent contradictions between the learning assumptions (e.g., single optimal action) and actual human behavior (e.g., multiple optimal actions), thereby limiting robot generalizability, applicability, and demonstration feasibility. To address this, this paper proposes designing imitation learning algorithms with a focus on utilizing human behavioral characteristics, thereby embodying principles for capturing and exploiting actual demonstrator behavioral characteristics. This paper presents the first imitation learning framework, Bayesian Disturbance Injection (BDI), that typifies human behavioral characteristics by incorporating model flexibility, robustification, and risk sensitivity. Bayesian inference is used to learn flexible non-parametric multi-action policies, while simultaneously robustifying policies by injecting risk-sensitive disturbances to induce human recovery action and ensuring demonstration feasibility. Our method is evaluated through risk-sensitive simulations and real-robot experiments (e.g., table-sweep task, shaft-reach task and shaft-insertion task) using the UR5e 6-DOF robotic arm, to demonstrate the improved characterisation of behavior. Results show significant improvement in task performance, through improved flexibility, robustness as well as demonstration feasibility.","high","A3 | A6","2","A3=high | A6=high","A3=Bayesian disturbance injection trains flexible policies to represent diverse optimal, recovery, and risk-sensitive human actions. | A6=Uses failure, recovery, retry, correction, or intervention data to return execution to a viable state or learn corrective behavior.","A3=It treats variation in human behavior as structured information rather than indiscriminate label noise. | A6=Shows how imperfect experience can teach robust retry and recovery behavior instead of being discarded.","A3=true | A6=true","primary_assignment","Hanbit Oh, Hikaru Sasaki, Brendan Michael, Takamitsu Matsubara","2022","arxiv:2211.03393 | pmid:36442373","arxiv:2211.03393","4784381720716007303","cs.RO","q01-direct-failed-recovery | q03-direct-partial-success | q09-failed","firecrawl research search-papers | search-papers","false","A3 | A6","true","true","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q17-failure-boundaries.json | A3/assigned-papers.json | A3/evidence-index.json | A3/paper-registry.json | A3/raw/q09-failed.txt | A6/raw-retrieval/q01-direct-failed-recovery.json | A6/raw-retrieval/q03-direct-partial-success.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A8/raw/q11-mechanism.json | A8/work/canonical-pool.jsonl","A3/abstract-triage.jsonl | A6/triage.jsonl"
"651","arxiv:2212.05598","2","HIGH","A1","Recurrent Vision Transformers for Object Detection with Event Cameras","arxiv:2212.05598","We present Recurrent Vision Transformers (RVTs), a novel backbone for object detection with event cameras. Event cameras provide visual information with sub-millisecond latency at a high-dynamic range and with strong robustness against motion blur. These unique properties offer great potential for low-latency object detection and tracking in time-critical scenarios. Prior work in event-based vision has achieved outstanding detection performance but at the cost of substantial inference time, typically beyond 40 milliseconds. By revisiting the high-level design of recurrent vision backbones, we reduce inference time by a factor of 6 while retaining similar performance. To achieve this, we explore a multi-stage design that utilizes three key concepts in each stage: First, a convolutional prior that can be regarded as a conditional positional embedding. Second, local and dilated global self-attention for spatial feature interaction. Third, recurrent temporal feature aggregation to minimize latency while retaining temporal information. RVTs can be trained from scratch to reach state-of-the-art performance on event-based object detection - achieving an mAP of 47.2% on the Gen1 automotive dataset. At the same time, RVTs offer fast inference (<12 ms on a T4 GPU) and favorable parameter efficiency (5 times fewer than prior art). Our study brings new insights into effective design choices that can be fruitful for research beyond event-based vision.","high","A1","1","A1=high","A1=The paper develops or evaluates a temporal correspondence, synchronization, delay, or sequence-representation mechanism for Recurrent Vision Transformers for Object Detection with Event Cameras.","A1=Its mechanism is a plausible transfer to multimodal robot experience, action-observation alignment, or temporally aware policy training.","A1=true","expansion_round_2","","","arxiv:2212.05598","arxiv:2212.05598","5061606298511085759","","","related-papers-round2","","A1","false","false","false","false","A1/expansion-round2-registry.json | A1/paper-registry-complete.json","A1/expansion-round2-triage.jsonl"
"664","arxiv:2301.11687","2","HIGH","A3 | A6","Theoretical Analysis of Offline Imitation With Supplementary Dataset","arxiv:2301.11687","Behavioral cloning (BC) can recover a good policy from abundant expert data, but may fail when expert data is insufficient. This paper considers a situation where, besides the small amount of expert data, a supplementary dataset is available, which can be collected cheaply from sub-optimal policies. Imitation learning with a supplementary dataset is an emergent practical framework, but its theoretical foundation remains under-developed. To advance understanding, we first investigate a direct extension of BC, called NBCU, that learns from the union of all available data. Our analysis shows that, although NBCU suffers an imitation gap that is larger than BC in the worst case, there exist special cases where NBCU performs better than or equally well as BC. This discovery implies that noisy data can also be helpful if utilized elaborately. Therefore, we further introduce a discriminator-based importance sampling technique to re-weight the supplementary data, proposing the WBCU method. With our newly developed landscape-based analysis, we prove that WBCU can outperform BC in mild conditions. Empirical studies show that WBCU simultaneously achieves the best performance on two challenging tasks where prior state-of-the-art methods fail.","high","A3 | A6","2","A3=medium | A6=high","A3=Theoretical analysis characterizes offline imitation with supplementary data under coverage and distribution assumptions. | A6=Learns or supplies recovery, correction, retry, repair, or replanning behavior from failed or perturbed executions.","A3=It helps define when weak auxiliary robot data can be safely incorporated, though it is not itself a detector. | A6=Makes failure states informative for robust execution and for deciding what corrective data to collect next.","A3=true | A6=true","expansion_round_1","Ziniu Li | Tian Xu | Yang Yu | Zhi-Quan Luo","2023","arxiv:2301.11687","arxiv:2301.11687","6723164879230120458","cs.LG","1 | 22 | 27 | 51 | 53 | 6 | q11-mech-quality-weighted","firecrawl research related-papers | related-papers","general","A3","false","false","false","true","A3/expansion-registry.json | A3/paper-registry.json | A5/canonical-pool.jsonl | A5/paper-registry.json | A5/raw/q01-direct.json | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q11-mech-quality-weighted.json | A6/work/canonical-pool.jsonl","A3/expansion-triage.jsonl | A6/expansion/triage.jsonl"
"677","arxiv:2302.04334","2","HIGH","A3","Asking for Help: Failure Prediction in Behavioral Cloning through Value Approximation","arxiv:2302.04334","Recent progress in end-to-end Imitation Learning approaches has shown promising results and generalization capabilities on mobile manipulation tasks. Such models are seeing increasing deployment in real-world settings, where scaling up requires robots to be able to operate with high autonomy, i.e. requiring as little human supervision as possible. In order to avoid the need for one-on-one human supervision, robots need to be able to detect and prevent policy failures ahead of time, and ask for help, allowing a remote operator to supervise multiple robots and help when needed. However, the blac (poolSize=10)","high","A3","1","A3=high","A3=Value approximation predicts behavioral-cloning failures and asks for human help at uncertain states.","A3=It links policy-risk estimation directly to selective corrective labeling.","A3=true","expansion_round_3","Cem Gokmen | Daniel Ho | Mohi Khansari","2023","arxiv:2302.04334","arxiv:2302.04334","8569732819535490512","cs.AI | cs.RO","q18-failure-conditioned-bc","firecrawl research related-papers","","A3","false","false","false","false","A3/paper-registry.json | A3/round3-evidence-index.json | A3/round3-registry.json | A6/raw-retrieval/q18-failure-conditioned-bc.json | A6/work/canonical-pool.jsonl","A3/round3-triage.jsonl"
"690","arxiv:2303.02569","2","HIGH","A3 | A6","Offline Imitation Learning with Suboptimal Demonstrations via Relaxed Distribution Matching","arxiv:2303.02569","Offline imitation learning (IL) promises the ability to learn performant policies from pre-collected demonstrations without interactions with the environment. However, imitating behaviors fully offline typically requires numerous expert data. To tackle this issue, we study the setting where we have limited expert data and supplementary suboptimal data. In this case, a well-known issue is the distribution shift between the learned policy and the behavior policy that collects the offline data. Prior works mitigate this issue by regularizing the KL divergence between the stationary state-action distributions of the learned policy and the behavior policy. We argue that such constraints based on exact distribution matching can be overly conservative and hamper policy learning, especially when the imperfect offline data is highly suboptimal. To resolve this issue, we present RelaxDICE, which employs an asymmetrically-relaxed f-divergence for explicit support regularization. Specifically, instead of driving the learned policy to exactly match the behavior policy, we impose little penalty whenever the density ratio between their stationary state-action distributions is upper bounded by a constant. Note that such formulation leads to a nested min-max optimization problem, which causes instability in practice. RelaxDICE addresses this challenge by supporting a closed-form solution for the inner maximization problem. Extensive empirical study shows that our method significantly outperforms the best prior offline IL method in six standard continuous control environments with over 30% performance gain on average, across 22 settings where the imperfect dataset is highly suboptimal.","high","A3 | A6","2","A3=high | A6=high","A3=Relaxed distribution matching lets offline imitation use limited expert data together with supplementary suboptimal data. | A6=Uses data-quality estimates, filtering, weighting, or offline reinforcement learning to extract signal from suboptimal demonstrations.","A3=It provides a principled alternative to treating every auxiliary trajectory as an exact expert target. | A6=Directly informs how a robot data loop can learn from heterogeneous and imperfect trajectories.","A3=true | A6=true","primary_assignment","Lantao Yu, Tianhe Yu, Jiaming Song, Willie Neiswanger, Stefano Ermon","2023","arxiv:2303.02569","arxiv:2303.02569","7051202469476431001","cs.LG","q10-suboptimal | q12-mech-offline-failures","firecrawl research search-papers | related-papers","","A3 | A6","true","true","false","false","A3/assigned-papers.json | A3/evidence-index.json | A3/paper-registry.json | A3/raw/q10-suboptimal.txt | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q12-mech-offline-failures.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl | A7/raw/q06-shift.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A3/abstract-triage.jsonl | A6/triage.jsonl"
"703","arxiv:2303.15349","2","HIGH","A5","Information Maximizing Curriculum: A Curriculum-Based Approach for Imitating Diverse Skills","arxiv:2303.15349","Imitation learning uses data for training policies to solve complex tasks. However, when the training data is collected from human demonstrators, it often leads to multimodal distributions because of the variability in human actions. Most imitation learning methods rely on a maximum likelihood (ML) objective to learn a parameterized policy, but this can result in suboptimal or unsafe behavior due to the mode-averaging property of the ML objective. In this work, we propose Information Maximizing Curriculum, a curriculum-based approach that assigns a weight to each data point and encourages the model to specialize in the data it can represent, effectively mitigating the mode-averaging problem by allowing the model to ignore data from modes it cannot represent. To cover all modes and thus, enable diverse behavior, we extend our approach to a mixture of experts (MoE) policy, where each mixture component selects its own subset of the training data for learning. A novel, maximum entropy-based objective is proposed to achieve full coverage of the dataset, thereby enabling the policy to encompass all modes within the data distribution. We demonstrate the effectiveness of our approach on complex simulated control tasks using diverse human demonstrations, achieving superior performance compared to state-of-the-art methods.","high","A5","1","A5=high","A5=In this work, we propose Information Maximizing Curriculum, a curriculum-based approach that assigns a weight to each data point and encourages the model to specialize in the data it can represent, effectively mitigating the mode-averaging problem by allowing the model to igno.","A5=It informs how a robot learner can order tasks, stages, or examples to improve learning efficiency and stability.","A5=true","primary_assignment","Denis Blessing, Onur Celik, Xiaogang Jia, Moritz Reuss, Maximilian Xiling Li, Rudolf Lioutikov, Gerhard Neumann","2023","arxiv:2303.15349 | paper:6091467233396296217","arxiv:2303.15349","paper:6091467233396296217","cs.LG","1 | 22 | 62","search-papers","general | recent","A5","false","false","false","false","A4/canonical-registry.jsonl | A4/raw/q08-information-gain.json | A5/assigned-papers.json | A5/canonical-pool.jsonl | A5/evidence-ledger.jsonl | A5/inspection-manifest.json | A5/paper-registry.json | A5/read-manifest.json | A7/raw/q15-long-tail-failure.json | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl","A5/assigned-abstracts.jsonl"
"716","arxiv:2304.13653","2","HIGH","A6","Learning Agile Soccer Skills for a Bipedal Robot with Deep Reinforcement Learning","arxiv:2304.13653","We investigate whether Deep Reinforcement Learning (Deep RL) is able to synthesize sophisticated and safe movement skills for a low-cost, miniature humanoid robot that can be composed into complex behavioral strategies in dynamic environments. We used Deep RL to train a humanoid robot with 20 actuated joints to play a simplified one-versus-one (1v1) soccer game. The resulting agent exhibits robust and dynamic movement skills such as rapid fall recovery, walking, turning, kicking and more; and it transitions between them in a smooth, stable, and efficient manner. The agent's locomotion and tactical behavior adapts to specific game contexts in a way that would be impractical to manually design. The agent also developed a basic strategic understanding of the game, and learned, for instance, to anticipate ball movements and to block opponent shots. Our agent was trained in simulation and transferred to real robots zero-shot. We found that a combination of sufficiently high-frequency control, targeted dynamics randomization, and perturbations during training in simulation enabled good-quality transfer. Although the robots are inherently fragile, basic regularization of the behavior during training led the robots to learn safe and effective movements while still performing in a dynamic and agile way -- well beyond what is intuitively expected from the robot. Indeed, in experiments, they walked 181% faster, turned 302% faster, took 63% less time to get up, and kicked a ball 34% faster than a scripted baseline, while efficiently combining the skills to achieve the longer term objectives.","high","A6","1","A6=high","A6=Learns or supplies recovery, correction, retry, repair, or replanning behavior from failed or perturbed executions.","A6=Makes failure states informative for robust execution and for deciding what corrective data to collect next.","A6=true","expansion_round_1","","","arxiv:2304.13653","arxiv:2304.13653","3466560661032093238","","","related-papers","","A6","false","false","false","false","A6/expansion/canonical-pool.jsonl","A6/expansion/triage.jsonl"
"729","arxiv:2305.12240","2","HIGH","A8","Bridging Active Exploration and Uncertainty-Aware Deployment Using Probabilistic Ensemble Neural Network Dynamics","arxiv:2305.12240","In recent years, learning-based control in robotics has gained significant attention due to its capability to address complex tasks in real-world environments. With the advances in machine learning algorithms and computational capabilities, this approach is becoming increasingly important for solving challenging control problems in robotics by learning unknown or partially known robot dynamics. Active exploration, in which a robot directs itself to states that yield the highest information gain, is essential for efficient data collection and minimizing human supervision. Similarly, uncertainty-aware deployment has been a growing concern in robotic control, as uncertain actions informed by the learned model can lead to unstable motions or failure. However, active exploration and uncertainty-aware deployment have been studied independently, and there is limited literature that seamlessly integrates them. This paper presents a unified model-based reinforcement learning framework that bridges these two tasks in the robotics control domain. Our framework uses a probabilistic ensemble neural network for dynamics learning, allowing the quantification of epistemic uncertainty via Jensen-Renyi Divergence. The two opposing tasks of exploration and deployment are optimized through state-of-the-art sampling-based MPC, resulting in efficient collection of training data and successful avoidance of uncertain state-action spaces. We conduct experiments on both autonomous vehicles and wheeled robots, showing promising results for both exploration and deployment.","high","A8","1","A8=high","A8=An ensemble dynamics model measures epistemic uncertainty with Jensen-Renyi divergence and uses sampling-based control both to seek information and avoid uncertain deployment states.","A8=It links collection-time exploration and deployment-time risk in one uncertainty-aware control loop.","A8=true","primary_assignment","","","arxiv:2305.12240","arxiv:2305.12240","5141848083670594848","","A8 | q03-direct | q04-direct | q08-synonyms","search-papers","","A8","false","false","false","false","A8/raw/q03-direct.json | A8/raw/q04-direct.json | A8/raw/q08-synonyms.json | A8/work/assigned-papers.json | A8/work/canonical-pool.jsonl","A8/work/abstract-triage.jsonl | A8/work/assigned-abstracts.jsonl"
"742","arxiv:2306.10007","2","HIGH","A7","Robot Learning with Sensorimotor Pre-training","arxiv:2306.10007","We present a self-supervised sensorimotor pre-training approach for robotics. Our model, called RPT, is a Transformer that operates on sequences of sensorimotor tokens. Given a sequence of camera images, proprioceptive robot states, and actions, we encode the sequence into tokens, mask out a subset, and train a model to predict the missing content from the rest. We hypothesize that if a robot can predict the masked-out content it will have acquired a good model of the physical world that can enable it to act. RPT is designed to operate on latent visual representations which makes prediction tractable, enables scaling to larger models, and allows fast inference on a real robot. To evaluate our approach, we collected a dataset of 20,000 real-world trajectories over 9 months using a combination of motion planning and grasping algorithms. We find that sensorimotor pre-training consistently outperforms training from scratch, has favorable scaling properties, and enables transfer across different tasks, environments, and robots.","high","A7","1","A7=high","A7=We present a self-supervised sensorimotor pre-training approach for robotics.","A7=It informs how data quantity, composition, or offline experience should affect policy training.","A7=true","expansion_round_1","","2023","arxiv:2306.10007","arxiv:2306.10007","3488601914299621144","","latent plan discovery trajectory chunks transformer robot learning | self-supervised representation learning temporal segmentation robot trajectories","references","false","A7","false","false","false","false","A2/canonical-pool.json | A2/canonical-pool.jsonl | A2/raw/q10-self-supervised.json | A2/raw/q15-latent-plan.json | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl","A7/work/expansion-triage.jsonl"
"755","arxiv:2307.07328","2","MEDIUM","A4","Boosting Backdoor Attack with A Learnable Poisoning Sample Selection Strategy","arxiv:2307.07328","Data-poisoning based backdoor attacks aim to insert backdoor into models by manipulating training datasets without controlling the training process of the target model. Existing attack methods mainly focus on designing triggers or fusion strategies between triggers and benign samples. However, they often randomly select samples to be poisoned, disregarding the varying importance of each poisoning sample in terms of backdoor injection. A recent selection strategy filters a fixed-size poisoning sample pool by recording forgetting events, but it fails to consider the remaining samples outside the pool from a global perspective. Moreover, computing forgetting events requires significant additional computing resources. Therefore, how to efficiently and effectively select poisoning samples from the entire dataset is an urgent problem in backdoor attacks.To address it, firstly, we introduce a poisoning mask into the regular backdoor training loss. We suppose that a backdoored model training with hard poisoning samples has a more backdoor effect on easy ones, which can be implemented by hindering the normal training process (, maximizing loss mask). To further integrate it with normal training process, we then propose a learnable poisoning sample selection strategy to learn the mask together with the model parameters through a min-max optimization.Specifically, the outer loop aims to achieve the backdoor attack goal by minimizing the loss based on the selected samples, while the inner loop selects hard poisoning samples that impede this goal by maximizing the loss. After several rounds of adversarial training, we finally select effective poisoning samples with high contribution. Extensive experiments on benchmark datasets demonstrate the effectiveness and efficiency of our approach in boosting backdoor attack performance.","medium","A4","1","A4=medium","A4=Provides adjacent evidence about how data composition affects learning outcomes.","A4=It extends the A4 mechanism space with adjacent data-centric evidence.","A4=false","expansion_round_1","","","arxiv:2307.07328 | paper:4148828352919077249","","","","","","","A4","false","false","false","false","A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/all-new-expansion-triage.jsonl"
"768","arxiv:2308.12952","2","HIGH","A4 | A5 | A6 | A7 | A8","BridgeData V2: A Dataset for Robot Learning at Scale","arxiv:2308.12952","We introduce BridgeData V2, a large and diverse dataset of robotic manipulation behaviors designed to facilitate research on scalable robot learning. BridgeData V2 contains 60,096 trajectories collected across 24 environments on a publicly available low-cost robot. BridgeData V2 provides extensive task and environment variability, leading to skills that can generalize across environments, domains, and institutions, making the dataset a useful resource for a broad range of researchers. Additionally, the dataset is compatible with a wide variety of open-vocabulary, multi-task learning methods conditioned on goal images or natural language instructions. In our experiments, we train 6 state-of-the-art imitation learning and offline reinforcement learning methods on our dataset, and find that they succeed on a suite of tasks requiring varying amounts of generalization. We also demonstrate that the performance of these methods improves with more data and higher capacity models, and that training on a greater variety of skills leads to improved generalization. By publicly sharing BridgeData V2 and our pre-trained models, we aim to accelerate research in scalable robot learning methods. Project page at https://rail-berkeley.github.io/bridgedata","high","A4 | A5 | A6 | A7 | A8","5","A4=medium | A5=high | A6=medium | A7=high | A8=medium","A4=Connects trajectory or demonstration choice to downstream policy learning, behavior, or offline-RL utility. | A5=BridgeData V2 provides extensive task and environment variability, leading to skills that can generalize across environments, domains, and institutions, making the dataset a useful resource for a broad range of researchers. | A6=Uses value or reward inference, offline reinforcement learning, or advantage signals to extract task-relevant behavior from heterogeneous trajectories. | A7=Scales multi-task demonstrations over many environments and shows that greater skill variety and data volume improve generalization. | A8=A multi-task, multi-environment robot dataset standardizes demonstrations and metadata across embodiments and scenes.","A4=It is directly or plausibly transferable to selecting robot experience for policy learning. | A5=This adaptive mixture neighbor tests whether the expansion adds a reusable mechanism for controlling robot experience in policy training. | A6=Connects trajectory outcomes to policy improvement rather than copying actions independently of consequences. | A7=It is a foundational dataset-level test of task/environment variety as a policy capability driver. | A8=It is a benchmark and collection design reference for measuring fleet coverage, transfer, and provenance at scale.","A4=true | A5=true | A6=false | A7=true | A8=true","expansion_round_1 | expansion_round_2 | primary_assignment","Homer Walke, Kevin Black, Abraham Lee, Moo Jin Kim, Max Du, Chongyi Zheng, Tony Zhao, Philippe Hansen-Estruch, Quan Vuong, Andre He, Vivek Myers, Kuan Fang, Chelsea Finn, Sergey Levine","2023","arxiv:2308.12952 | paper:8965492967417941169 | paperid:8965492967417941169","arxiv:2308.12952","8965492967417941169","cs.LG | cs.RO","","related-papers | search-papers","foundational","A7","false","true","true","true","A4/expansion/round3/registry.jsonl | A4/expansion/round4/registry.jsonl | A5/expansion/raw/round2-similar.json | A6/expansion/canonical-pool.jsonl | A7/raw/q01-direct-terms.json | A7/raw/q02-synonyms.json | A7/raw/q04-composition.json | A7/raw/q05-synonyms.json | A7/raw/q09-mechanism-generalization.json | A7/raw/q25-foundational-multitask.json | A7/raw/q39-quality-vs-diversity.json | A7/work/assigned-papers.json | A7/work/assigned-papers.jsonl | A7/work/expansion-registry.json | A7/work/expansion-registry.jsonl | A7/work/paper-registry.json | A7/work/paper-registry.jsonl | A7/work/read-manifest.json | A7/work/verified-paper-registry.json | A7/work/verified-paper-registry.jsonl | A8/work/expansion-novel.jsonl | A8/work/expansion-pool.jsonl","A4/expansion/all-new-expansion-triage.jsonl | A5/expansion/round2-triage.jsonl | A6/expansion/triage.jsonl | A7/work/abstract-triage.jsonl | A7/work/assigned-abstracts.jsonl | A8/work/expansion-triage.jsonl"
"781","arxiv:2310.00902","2","HIGH","A4","DataInf: Efficiently Estimating Data Influence in LoRA-tuned LLMs and Diffusion Models","arxiv:2310.00902","Quantifying the impact of training data points is crucial for understanding the outputs of machine learning models and for improving the transparency of the AI pipeline. The influence function is a principled and popular data attribution method, but its computational cost often makes it challenging to use. This issue becomes more pronounced in the setting of large language models and text-to-image models. In this work, we propose DataInf, an efficient influence approximation method that is practical for large-scale generative AI models. Leveraging an easy-to-compute closed-form expression, DataInf outperforms existing influence computation algorithms in terms of computational and memory efficiency. Our theoretical analysis shows that DataInf is particularly well-suited for parameter-efficient fine-tuning techniques such as LoRA. Through systematic empirical evaluations, we show that DataInf accurately approximates influence scores and is orders of magnitude faster than existing methods. In applications to RoBERTa-large, Llama-2-13B-chat, and stable-diffusion-v1.5 models, DataInf effectively identifies the most influential fine-tuning examples better than other approximate influence scores. Moreover, it can help to identify which data points are mislabeled.","high","A4","1","A4=high","A4=Uses data valuation or attribution to estimate example contribution to model or policy outcomes.","A4=It provides adjacent evidence for data-efficient training intelligence.","A4=true","expansion_round_1","","","arxiv:2310.00902 | paper:3017585654075573576","","","","","related-paper-expansion","","A4","false","false","false","false","A4/expansion/expansion-registry.jsonl | A4/expansion/round2/registry.jsonl | A4/expansion/round5/registry.jsonl","A4/expansion/expansion-triage.jsonl"
"794","arxiv:2310.15815","2","HIGH","A3 | A6","Good Better Best: Self-Motivated Imitation Learning for noisy Demonstrations","arxiv:2310.15815","Imitation Learning (IL) aims to discover a policy by minimizing the discrepancy between the agent's behavior and expert demonstrations. However, IL is susceptible to limitations imposed by noisy demonstrations from non-expert behaviors, presenting a significant challenge due to the lack of supplementary information to assess their expertise. In this paper, we introduce Self-Motivated Imitation LEarning (SMILE), a method capable of progressively filtering out demonstrations collected by policies deemed inferior to the current policy, eliminating the need for additional information. We utilize the forward and reverse processes of Diffusion Models to emulate the shift in demonstration expertise from low to high and vice versa, thereby extracting the noise information that diffuses expertise. Then, the noise information is leveraged to predict the diffusion steps between the current policy and demonstrators, which we theoretically demonstrate its equivalence to their expertise gap. We further explain in detail how the predicted diffusion steps are applied to filter out noisy demonstrations in a self-motivated manner and provide its theoretical grounds. Through empirical evaluations on MuJoCo tasks, we demonstrate that our method is proficient in learning the expert policy amidst noisy demonstrations, and effectively filters out demonstrations with expertise inferior to the current policy.","high","A3 | A6","2","A3=high | A6=high","A3=SMILE progressively filters demonstrations from inferior policies using the learner's own evolving competence. | A6=Infers quality, reward, value, or preferences from mixed-outcome demonstrations to reweight or improve actions.","A3=It provides a self-improving quality estimator when external expertise labels are unavailable. | A6=Turns success, failure, and relative-quality signals into supervision for experience selection or policy improvement.","A3=true | A6=true","primary_assignment","Ye Yuan, Xin Li, Yong Heng, Leiji Zhang, MingZhong Wang","2023","arxiv:2310.15815","arxiv:2310.15815","5006607396447279585","cs.LG","q01-direct | q05-quality-scoring | q06-syn-noisy-demo | q20-foundational-robust | q22-safe-bad-data | q23-recent-noisy-il | q33-recent-diffusion-recovery","firecrawl research search-papers | related-papers","","A3 | A6","true","true","false","false","A3/assigned-papers.json | A3/evidence-index.json | A3/paper-registry.json | A3/raw/q01-direct.txt | A3/raw/q05-quality-scoring.txt | A3/raw/q20-foundational-robust.txt | A3/raw/q22-safe-bad-data.txt | A3/raw/q23-recent-noisy-il.txt | A6/expansion/canonical-pool.jsonl | A6/raw-retrieval/q06-syn-noisy-demo.json | A6/raw-retrieval/q33-recent-diffusion-recovery.json | A6/registry-assignment.jsonl | A6/work/assigned-registry-inspected.jsonl | A6/work/assigned-registry-preinspect.jsonl | A6/work/canonical-pool.jsonl | A6/work/evidence-index.jsonl","A3/abstract-triage.jsonl | A6/triage.jsonl"
